Date,EWA,EWC
2015-01-02,13.892488479614258,22.766460418701172
2015-01-05,13.76047420501709,22.155445098876953
2015-01-06,13.703895568847656,21.830095291137695
2015-01-07,13.82962417602539,21.853900909423828
2015-01-08,14.01192569732666,22.123701095581055
2015-01-09,14.14393138885498,21.933252334594727
2015-01-12,13.98049259185791,21.58409881591797
2015-01-13,13.98049259185791,21.488874435424805
2015-01-14,13.79190444946289,21.353973388671875
2015-01-15,13.873625755310059,21.23494529724121
2015-01-16,14.030780792236328,21.631710052490234
2015-01-20,13.848480224609375,21.377777099609375
2015-01-21,13.974205017089844,21.44126319885254
2015-01-22,13.967918395996094,21.623775482177734
2015-01-23,13.82962417602539,21.631710052490234
2015-01-26,13.879914283752441,21.57616424560547
2015-01-27,13.90505599975586,21.734867095947266
2015-01-28,13.82962417602539,21.187334060668945
2015-01-29,13.861053466796875,21.092111587524414
2015-01-30,13.77933120727539,20.981016159057617
2015-02-02,14.062212944030762,21.536489486694336
2015-02-03,14.36395263671875,22.11577033996582
2015-02-04,14.288517951965332,21.703128814697266
2015-02-05,14.546245574951172,22.13163948059082
2015-02-06,14.451956748962402,21.909454345703125
2015-02-09,14.433096885681152,22.060218811035156
2015-02-10,14.426810264587402,21.90151023864746
2015-02-11,14.213081359863281,21.838031768798828
2015-02-12,14.301082611083984,22.20305633544922
2015-02-13,14.602826118469238,22.28240966796875
2015-02-17,14.697115898132324,22.512535095214844
2015-02-18,14.766265869140625,22.266536712646484
2015-02-19,14.70340633392334,22.08402442932129
2015-02-20,14.785128593444824,21.988800048828125
2015-02-23,14.747404098510742,21.988800048828125
2015-02-24,14.88570499420166,22.11577033996582
2015-02-25,14.98628044128418,22.337955474853516
2015-02-26,14.785128593444824,22.187185287475586
2015-02-27,14.88570499420166,22.23479652404785
2015-03-02,14.898273468017578,22.24272918701172
2015-03-03,14.904561996459961,22.11577033996582
2015-03-04,14.82284164428711,22.13163948059082
2015-03-05,14.747404098510742,22.020549774169922
2015-03-06,14.48967170715332,21.6396484375
2015-03-09,14.48967170715332,21.55236053466797
2015-03-10,14.156506538391113,21.100046157836914
2015-03-11,14.118786811828613,21.10798454284668
2015-03-12,14.52739143371582,21.25875473022461
2015-03-13,14.244512557983398,21.07624053955078
2015-03-16,14.370232582092285,21.346044540405273
2015-03-17,14.3262300491333,21.36984634399414
2015-03-18,14.753695487976074,21.830095291137695
2015-03-19,14.609111785888672,21.306364059448242
2015-03-20,15.042858123779297,21.78248405456543
2015-03-23,15.149725914001465,21.893579483032227
2015-03-24,15.156010627746582,22.06815528869629
2015-03-25,14.98628044128418,21.845964431762695
2015-03-26,14.84169864654541,21.79835319519043
2015-03-27,14.697115898132324,21.480939865112305
2015-03-30,14.539960861206055,21.496816635131836
2015-03-31,14.370232582092285,21.5682315826416
2015-04-01,14.395380973815918,21.6634521484375
2015-04-02,14.445671081542969,21.92531967163086
2015-04-06,14.577680587768555,22.139570236206055
2015-04-07,14.653111457824707,22.21892547607422
2015-04-08,14.810267448425293,22.21892547607422
2015-04-09,14.772550582885742,22.314149856567383
2015-04-10,14.80398178100586,22.41731071472168
2015-04-13,14.552535057067871,22.38556671142578
2015-04-14,14.634257316589355,22.591886520385742
2015-04-15,14.678260803222656,23.036264419555664
2015-04-16,14.910849571228027,23.13942527770996
2015-04-17,14.634257316589355,23.02039909362793
2015-04-20,14.609111785888672,23.107685089111328
2015-04-21,14.565103530883789,22.917232513427734
2015-04-22,14.602826118469238,22.96485137939453
2015-04-23,14.70969009399414,23.266389846801758
2015-04-24,15.042858123779297,23.234651565551758
2015-04-27,15.118289947509766,23.242584228515625
2015-04-28,15.332021713256836,23.40922737121582
2015-04-29,14.967424392700195,23.440967559814453
2015-04-30,14.659398078918457,23.107685089111328
2015-05-01,14.741119384765625,23.123554229736328
2015-05-04,14.715977668762207,23.274328231811523
2015-05-05,14.697115898132324,23.012460708618164
2015-05-06,14.445671081542969,22.837886810302734
2015-05-07,14.263370513916016,22.750593185424805
2015-05-08,14.420526504516602,22.956912994384766
2015-05-11,14.156506538391113,22.901363372802734
2015-05-12,14.495956420898438,22.8854923248291
2015-05-13,14.797696113586426,22.861684799194336
2015-05-14,14.904561996459961,22.893428802490234
2015-05-15,14.898273468017578,22.956912994384766
2015-05-18,14.602826118469238,22.78233528137207
2015-05-19,14.3262300491333,22.599822998046875
2015-05-20,14.263370513916016,22.583951950073242
2015-05-21,14.414241790771484,22.766460418701172
2015-05-22,14.288517951965332,22.599822998046875
2015-05-26,14.307374000549316,22.139570236206055
2015-05-27,14.313658714294434,22.17131805419922
2015-05-28,14.118786811828613,22.21099090576172
2015-05-29,14.169078826904297,22.044347763061523
2015-06-01,14.062212944030762,21.97293472290039
2015-06-02,14.118786811828613,22.20305633544922
2015-06-03,14.01192569732666,22.22686004638672
2015-06-04,13.58446216583252,21.94118881225586
2015-06-05,13.509027481079102,21.980871200561523
2015-06-08,13.565604209899902,21.703128814697266
2015-06-09,13.509027481079102,21.91738510131836
2015-06-10,13.810761451721191,22.16337776184082
2015-06-11,13.90505599975586,22.11577033996582
2015-06-12,13.77304744720459,21.86977195739746
2015-06-15,13.842196464538574,21.893579483032227
2015-06-16,13.94277286529541,21.91738510131836
2015-06-17,13.974205017089844,22.004671096801758
2015-06-18,14.024494171142578,22.06815528869629
2015-06-19,14.043354034423828,21.79835319519043
2015-06-22,14.06849479675293,21.957056045532227
2015-06-23,14.206796646118164,22.099897384643555
2015-06-24,14.14393138885498,22.044347763061523
2015-06-25,14.066676139831543,22.069934844970703
2015-06-26,13.802725791931152,22.013961791992188
2015-06-29,13.455083847045898,21.39024543762207
2015-06-30,13.538777351379395,21.326274871826172
2015-07-01,13.686844825744629,21.23831558227539
2015-07-02,13.77054214477539,21.35026741027832
2015-07-06,13.384265899658203,21.11837387084961
2015-07-07,13.41645622253418,21.07039451599121
2015-07-08,13.036625862121582,20.710556030273438
2015-07-09,13.158943176269531,20.606605529785156
2015-07-10,13.326325416564941,20.822507858276367
2015-07-13,13.332761764526367,20.918460845947266
2015-07-14,13.487272262573242,20.998424530029297
2015-07-15,13.455083847045898,20.822507858276367
2015-07-16,13.616026878356934,20.846494674682617
2015-07-17,13.54521369934082,20.710556030273438
2015-07-20,13.635340690612793,20.422691345214844
2015-07-21,13.66753101348877,20.390703201293945
2015-07-22,13.397144317626953,20.198787689208984
2015-07-23,13.236196517944336,20.094837188720703
2015-07-24,13.017309188842773,20.014873504638672
2015-07-27,13.049500465393066,19.790977478027344
2015-07-28,13.345643997192383,20.094837188720703
2015-07-29,13.384265899658203,20.390703201293945
2015-07-30,13.422893524169922,20.414690017700195
2015-07-31,13.4679594039917,20.430683135986328
2015-08-03,13.352078437805176,20.182796478271484
2015-08-04,13.577401161193848,20.31073760986328
2015-08-05,13.54521369934082,20.31873321533203
2015-08-06,13.21044635772705,20.3027400970459
2015-08-07,13.094564437866211,20.11882781982422
2015-08-10,13.294137954711914,20.534639358520508
2015-08-11,12.83704948425293,20.27875518798828
2015-08-12,12.843490600585938,20.366714477539062
2015-08-13,12.804862022399902,20.110830307006836
2015-08-14,12.785551071166992,20.11882781982422
2015-08-17,12.830611228942871,20.086841583251953
2015-08-18,12.682543754577637,20.02287483215332
2015-08-19,12.779109001159668,19.719009399414062
2015-08-20,12.412154197692871,19.31119728088379
2015-08-21,12.116016387939453,18.79943084716797
2015-08-24,11.163213729858398,18.111740112304688
2015-08-25,11.826310157775879,18.1677188873291
2015-08-26,12.154638290405273,18.551544189453125
2015-08-27,12.392837524414062,19.223234176635742
2015-08-28,12.328461647033691,19.351177215576172
2015-08-31,12.006568908691406,19.40715217590332
2015-09-01,11.45291805267334,18.791433334350586
2015-09-02,11.710431098937988,18.8314151763916
2015-09-03,11.549482345581055,18.983346939086914
2015-09-04,11.29196834564209,18.687477111816406
2015-09-08,11.806997299194336,19.0073299407959
2015-09-09,11.768372535705566,18.83941078186035
2015-09-10,11.819873809814453,18.927370071411133
2015-09-11,11.800556182861328,18.74345588684082
2015-09-14,11.871376037597656,18.591524124145508
2015-09-15,11.858500480651855,18.74345588684082
2015-09-16,12.16751766204834,19.31919288635254
2015-09-17,12.045195579528809,19.31119728088379
2015-09-18,11.980818748474121,19.063312530517578
2015-09-21,11.877815246582031,19.15926170349121
2015-09-22,11.716869354248047,18.687477111816406
2015-09-23,11.478667259216309,18.431591033935547
2015-09-24,11.652490615844727,18.42359733581543
2015-09-25,11.581672668457031,18.455585479736328
2015-09-28,11.401412963867188,17.84786033630371
2015-09-29,11.259780883789062,17.855857849121094
2015-09-30,11.536605834960938,18.391613006591797
2015-10-01,11.633176803588867,18.391613006591797
2015-10-02,11.749054908752441,18.67148780822754
2015-10-05,12.083822250366211,19.063312530517578
2015-10-06,12.154638290405273,19.287202835083008
2015-10-07,12.347774505615234,19.583066940307617
2015-10-08,12.528034210205078,19.814966201782227
2015-10-09,12.643916130065918,19.92691421508789
2015-10-12,12.598852157592773,19.750993728637695
2015-10-13,12.328461647033691,19.583066940307617
2015-10-14,12.399282455444336,19.814966201782227
2015-10-15,12.63104248046875,19.854942321777344
2015-10-16,12.598852157592773,19.790977478027344
2015-10-19,12.489408493041992,19.48710823059082
2015-10-20,12.412154197692871,19.67102813720703
2015-10-21,12.322022438049316,19.215238571166992
2015-10-22,12.573101997375488,19.535091400146484
2015-10-23,12.740484237670898,19.535091400146484
2015-10-26,12.701859474182129,19.31919288635254
2015-10-27,12.585975646972656,19.087297439575195
2015-10-28,12.482970237731934,19.42314338684082
2015-10-29,12.12244987487793,19.359174728393555
2015-10-30,12.180392265319824,19.031322479248047
2015-11-02,12.148201942443848,19.167259216308594
2015-11-03,12.367090225219727,19.41514778137207
2015-11-04,12.225458145141602,19.175254821777344
2015-11-05,12.109575271606445,18.991336822509766
2015-11-06,12.000130653381348,18.807424545288086
2015-11-09,11.691118240356445,18.719465255737305
2015-11-10,11.678237915039062,18.647499084472656
2015-11-11,11.806997299194336,18.559537887573242
2015-11-12,11.813434600830078,18.215700149536133
2015-11-13,11.65892505645752,18.055768966674805
2015-11-16,11.755495071411133,18.41560173034668
2015-11-17,11.884249687194824,18.39961051940918
2015-11-18,12.058072090148926,18.575531005859375
2015-11-19,12.360650062561035,18.719465255737305
2015-11-20,12.4572172164917,18.583526611328125
2015-11-23,12.379965782165527,18.447589874267578
2015-11-24,12.4572172164917,18.607515335083008
2015-11-25,12.334898948669434,18.583526611328125
2015-11-27,12.244771003723145,18.47957420349121
2015-11-30,12.289834976196289,18.607515335083008
2015-12-01,12.637476921081543,18.871397018432617
2015-12-02,12.508720397949219,18.615516662597656
2015-12-03,12.425028800964355,18.439590454101562
2015-12-04,12.482970237731934,18.471580505371094
2015-12-07,12.238334655761719,17.839866638183594
2015-12-08,11.993694305419922,17.567991256713867
2015-12-09,11.974379539489746,17.65595054626465
2015-12-10,11.980818748474121,17.65595054626465
2015-12-11,11.646050453186035,17.248138427734375
2015-12-14,11.652490615844727,17.136188507080078
2015-12-15,11.67180061340332,17.456037521362305
2015-12-16,12.006568908691406,17.69593048095703
2015-12-17,11.787684440612793,17.29611587524414
2015-12-18,11.929319381713867,17.29611587524414
2015-12-21,12.074284553527832,17.288009643554688
2015-12-22,12.166960716247559,17.385269165039062
2015-12-23,12.3920316696167,17.766206741333008
2015-12-24,12.398651123046875,17.814836502075195
2015-12-28,12.372174263000488,17.54737091064453
